,zip1,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010_cat,2011_cat,2012_cat,2013_cat,2014_cat,2015_cat,2016_cat,2017_cat,2018_cat,2019_cat
43,10171,57389564.0,70249171.0,71591906.0,56220086.0,109288900.0,100134430.0,77102589.0,71183251.0,75813754.0,31117166.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
44,10473,19060154.0,19414726.0,6681202.0,7186180.0,26339224.0,16966731.0,26197038.0,15963637.0,19236308.0,9495337.0,good,good,fair,poor,good,fair,good,fair,fair,good
45,11509,1220306.0,739962.0,915200.0,502420.0,0.0,1006955.0,1174525.0,1201651.0,1696500.0,0.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
46,11229,23471384.0,27502446.0,35802941.0,34337537.0,44509385.0,39672092.0,79113563.0,34547326.0,31628823.0,5872973.0,good,good,good,good,good,good,excellent,good,good,fair
47,10310,10391733.0,9491083.0,11509975.0,6636725.0,12180300.0,10448902.0,10892747.0,9081849.0,6248773.0,12217693.0,fair,fair,fair,poor,fair,fair,poor,poor,fair,good
48,11230,23606990.0,14291144.0,19835097.0,29202967.0,21707257.0,37282455.0,49331188.0,29248342.0,14796348.0,1516056.0,good,fair,good,good,fair,good,good,good,fair,poor
49,11216,16782548.0,12908795.0,26077811.0,30536657.0,41031447.0,61929838.0,83610148.0,38582757.0,27236365.0,14549043.0,good,fair,good,good,good,good,excellent,good,good,good
50,10305,19355481.0,6858205.0,12526030.0,53589315.0,15549717.0,17290185.0,17278101.0,16263643.0,8456818.0,5800470.0,good,fair,fair,excellent,fair,fair,fair,fair,fair,fair
51,10014,37164962.0,47954532.0,53744718.0,73869469.0,61444787.0,103500690.0,95818280.0,229406632.0,95645568.0,37630810.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
52,10280,13131632.0,9284846.0,9850570.0,32471273.0,26777537.0,25779122.0,23836396.0,15561756.0,52348388.0,8181820.0,fair,fair,fair,good,good,good,fair,fair,excellent,fair
53,11418,4433613.0,21567219.0,11125998.0,9115044.0,4767825.0,18647143.0,13045866.0,6429879.0,793448.0,1676439.0,poor,good,fair,poor,poor,fair,fair,poor,poor,poor
54,10463,17110955.0,19643716.0,20400645.0,21714806.0,21618892.0,14545199.0,22457764.0,32284431.0,59960552.0,9328205.0,good,good,good,good,fair,fair,fair,good,excellent,good
55,10278,36986449.0,44221716.0,47903992.0,58757785.0,57892898.0,66953802.0,48409289.0,119478669.0,48867705.0,22134776.0,excellent,excellent,excellent,excellent,excellent,excellent,good,excellent,excellent,good
56,10462,9535673.0,13330658.0,14633114.0,13879494.0,43733319.0,16998772.0,19971036.0,16173099.0,8943774.0,7457581.0,fair,fair,fair,fair,good,fair,fair,fair,fair,fair
57,10001,163759014.0,239598729.0,320890310.0,334703370.0,469834048.0,421848742.0,423053849.0,422601101.0,280966153.0,186319426.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
58,10455,18957615.0,28268649.0,10955882.0,998675600.0,25464236.0,33356952.0,15795425.0,29822804.0,17404831.0,11298650.0,good,good,fair,excellent,good,good,fair,good,fair,good
59,11697,943480.0,999515.0,691165.0,1898495.0,2969539.0,5044482.0,11443197.0,14406087.0,3969691.0,1102986.0,poor,poor,poor,poor,poor,poor,poor,fair,poor,poor
60,11368,11957318.0,12222761.0,15936654.0,16809424.0,29547843.0,21357148.0,24043430.0,26060596.0,21949228.0,8529656.0,fair,fair,fair,fair,good,fair,fair,good,good,good
