,zip1,2010_modify_cnt,2011_modify_cnt,2012_modify_cnt,2013_modify_cnt,2014_modify_cnt,2015_modify_cnt,2016_modify_cnt,2017_modify_cnt,2018_modify_cnt,2019_modify_cnt,2010_install_cnt,2011_install_cnt,2012_install_cnt,2013_install_cnt,2014_install_cnt,2015_install_cnt,2016_install_cnt,2017_install_cnt,2018_install_cnt,2019_install_cnt,2010_new_cnt,2011_new_cnt,2012_new_cnt,2013_new_cnt,2014_new_cnt,2015_new_cnt,2016_new_cnt,2017_new_cnt,2018_new_cnt,2019_new_cnt,2010_demolition_cnt,2011_demolition_cnt,2012_demolition_cnt,2013_demolition_cnt,2014_demolition_cnt,2015_demolition_cnt,2016_demolition_cnt,2017_demolition_cnt,2018_demolition_cnt,2019_demolition_cnt,2010_no_change_cnt,2011_no_change_cnt,2012_no_change_cnt,2013_no_change_cnt,2014_no_change_cnt,2015_no_change_cnt,2016_no_change_cnt,2017_no_change_cnt,2018_no_change_cnt,2019_no_change_cnt,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010_cat,2011_cat,2012_cat,2013_cat,2014_cat,2015_cat,2016_cat,2017_cat,2018_cat,2019_cat
28,11213,4.0,4.0,2.0,4.0,6.0,10.0,7.0,3.0,5.0,5.0,111.0,73.0,115.0,88.0,118.0,197.0,173.0,144.0,51.0,19.0,75.0,45.0,62.0,64.0,85.0,97.0,100.0,74.0,26.0,14.0,3.0,3.0,7.0,12.0,10.0,21.0,20.0,13.0,5.0,1.0,155.0,122.0,166.0,133.0,207.0,292.0,284.0,213.0,63.0,41.0,18535077.0,10558652.0,17623331.0,19013979.0,23940228.0,38984305.0,49806168.0,40669509.0,20476852.0,20716738.0,good,fair,fair,good,good,good,good,good,good,good
29,11357,1.0,2.0,3.0,3.0,,4.0,1.0,3.0,2.0,1.0,50.0,43.0,64.0,64.0,55.0,83.0,95.0,57.0,26.0,8.0,53.0,66.0,60.0,99.0,62.0,85.0,91.0,77.0,28.0,9.0,27.0,16.0,8.0,12.0,11.0,16.0,23.0,16.0,3.0,2.0,67.0,80.0,85.0,139.0,82.0,123.0,115.0,73.0,33.0,17.0,4851837.0,8051927.0,10052946.0,39426611.0,13982052.0,18573129.0,14789575.0,16026702.0,5357588.0,1427912.0,poor,fair,fair,good,fair,fair,fair,fair,poor,poor
30,10457,2.0,2.0,5.0,3.0,5.0,5.0,3.0,9.0,4.0,1.0,119.0,100.0,66.0,110.0,135.0,139.0,115.0,123.0,38.0,27.0,52.0,51.0,45.0,47.0,61.0,79.0,69.0,56.0,41.0,14.0,5.0,5.0,3.0,5.0,5.0,11.0,8.0,20.0,9.0,1.0,162.0,143.0,117.0,147.0,193.0,184.0,151.0,160.0,76.0,33.0,14349361.0,16583801.0,23639337.0,18911519.0,35737310.0,33622784.0,25585543.0,17634648.0,24256806.0,5045920.0,fair,good,good,good,good,good,fair,fair,good,fair
31,10475,7.0,7.0,5.0,7.0,62.0,27.0,17.0,17.0,6.0,1.0,43.0,28.0,36.0,58.0,104.0,37.0,47.0,44.0,25.0,19.0,27.0,22.0,25.0,44.0,192.0,53.0,32.0,26.0,18.0,11.0,4.0,2.0,3.0,2.0,2.0,5.0,,1.0,1.0,5.0,67.0,62.0,64.0,81.0,281.0,89.0,86.0,76.0,40.0,28.0,11981348.0,10493734.0,6058669.0,10726732.0,13067364.0,13107987.0,11474599.0,9625570.0,15566231.0,18735747.0,fair,fair,poor,fair,fair,fair,poor,poor,fair,good
32,11214,2.0,5.0,5.0,13.0,12.0,8.0,5.0,9.0,4.0,4.0,74.0,85.0,83.0,80.0,82.0,103.0,86.0,77.0,32.0,10.0,58.0,63.0,69.0,58.0,64.0,70.0,76.0,45.0,34.0,13.0,14.0,8.0,8.0,16.0,13.0,10.0,21.0,11.0,,2.0,166.0,175.0,148.0,122.0,145.0,194.0,174.0,127.0,79.0,43.0,9552483.0,12780531.0,24847407.0,17331700.0,12792303.0,17422431.0,13850026.0,18965696.0,24077693.0,3864165.0,fair,fair,good,fair,fair,fair,fair,fair,good,fair
33,11226,5.0,6.0,2.0,4.0,10.0,12.0,11.0,12.0,7.0,,101.0,112.0,122.0,113.0,134.0,194.0,200.0,174.0,70.0,31.0,63.0,54.0,56.0,59.0,69.0,89.0,120.0,116.0,63.0,25.0,2.0,9.0,6.0,9.0,9.0,39.0,47.0,15.0,5.0,1.0,156.0,160.0,158.0,173.0,225.0,288.0,346.0,307.0,150.0,51.0,18915579.0,20899738.0,21840978.0,31593717.0,31813204.0,18979312.0,38745070.0,33987075.0,22815298.0,12661858.0,good,good,good,good,good,fair,good,good,good,good
34,11224,4.0,5.0,11.0,11.0,8.0,10.0,17.0,9.0,7.0,4.0,114.0,83.0,98.0,128.0,169.0,129.0,155.0,148.0,71.0,33.0,45.0,42.0,47.0,69.0,65.0,59.0,66.0,82.0,63.0,15.0,17.0,8.0,11.0,16.0,10.0,18.0,14.0,18.0,16.0,3.0,153.0,115.0,155.0,191.0,209.0,181.0,202.0,159.0,126.0,57.0,29418905.0,26062189.0,23237864.0,31126970.0,35695097.0,73655668.0,30703174.0,61510886.0,90147359.0,6488568.0,good,good,good,good,good,excellent,good,excellent,excellent,fair
35,11221,4.0,2.0,6.0,4.0,4.0,4.0,3.0,7.0,3.0,,110.0,69.0,86.0,90.0,150.0,244.0,229.0,225.0,53.0,19.0,57.0,69.0,52.0,84.0,108.0,124.0,138.0,121.0,50.0,12.0,1.0,6.0,6.0,9.0,23.0,51.0,39.0,17.0,7.0,,159.0,116.0,146.0,161.0,248.0,350.0,335.0,265.0,71.0,30.0,20775140.0,14197513.0,18153795.0,34010956.0,55287466.0,67650561.0,48002145.0,43548427.0,26236316.0,3734325.0,good,fair,good,good,excellent,excellent,good,good,good,fair
36,11414,1.0,1.0,2.0,3.0,,2.0,2.0,5.0,3.0,2.0,16.0,19.0,22.0,22.0,73.0,84.0,130.0,52.0,11.0,1.0,21.0,20.0,21.0,27.0,28.0,20.0,17.0,19.0,7.0,3.0,5.0,3.0,1.0,1.0,4.0,2.0,4.0,4.0,1.0,,29.0,32.0,39.0,46.0,46.0,63.0,101.0,52.0,20.0,6.0,4337176.0,1935050.0,3940076.0,3763322.0,9606184.0,7313703.0,7783391.0,8764949.0,1371739.0,937502.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
37,11435,7.0,9.0,13.0,10.0,6.0,9.0,7.0,10.0,7.0,8.0,72.0,77.0,97.0,72.0,88.0,103.0,131.0,122.0,55.0,31.0,47.0,53.0,50.0,50.0,56.0,54.0,48.0,53.0,25.0,12.0,4.0,8.0,12.0,9.0,6.0,8.0,29.0,22.0,2.0,2.0,124.0,140.0,160.0,119.0,152.0,169.0,167.0,160.0,98.0,45.0,8594274.0,18742813.0,13119316.0,10790955.0,8698331.0,45875492.0,91081664.0,25634341.0,15574242.0,3350666.0,fair,good,fair,fair,poor,good,excellent,good,fair,fair
