year,incident_zip,avg(job_time)
2010,10019,-51.64032817616174
2010,11220,-53.059338204942385
2010,11223,-55.67332707753931
2010,11235,-59.800932373500345
2010,10012,-63.63623955583591
2010,10009,-66.21127648647293
2010,10011,-66.4083642866954
2010,10002,-68.07108232820632
2010,10003,-72.94357290292972
2010,10301,-73.16756043625179
2010,10016,-78.67790953938442
year,incident_zip,avg(job_time)
2010,11201,-82.76222526652805
2010,10044,-83.8367834245231
2010,10036,-90.16713057318378
2010,10013,-91.55811327254807
2010,11354,-94.07639994464671
2010,10475,-102.74571146081612
2010,10022,-111.08922350350308
2010,11101,-112.93378823108702
2010,11103,-119.37913156620623
2010,11430,-121.62417116547061
