boro,boro_name,postcode,10_11growth,10_11_cat,11_12growth,11_12_cat,12_13growth,12_13_cat,13_14growth,13_14_cat,14_15growth,14_15_cat,15_16growth,15_16_cat,16_17growth,16_17_cat,17_18growth,17_18_cat
3,Brooklyn,11230,-0.018330685469561514,poor,0.03521203001675961,good,0.0363119558186648,excellent,0.0803335313435374,excellent,0.07005790113029821,fair,0.17014779073128303,excellent,0.12111541921437056,excellent,0.13538266964474158,excellent
1,Manhattan,10044,0.14331084876973016,excellent,-0.0877665149338049,poor,0.015117506040482136,good,-0.05289455831049063,poor,0.047180175759374485,poor,0.033345707058866754,poor,0.07747847452051451,good,-0.018166732672906787,poor
3,Brooklyn,11219,-0.029865439494732107,poor,0.08371724045709573,excellent,0.03460487180638019,excellent,0.08405244186739294,excellent,0.10016798297869887,excellent,0.12363967018190576,good,0.1361797782062684,excellent,0.13432282293702563,excellent
3,Brooklyn,11236,-0.018539548709572584,poor,0.009515094738657389,fair,-0.0906270530971707,poor,0.029950099529567092,fair,0.023890513185424744,poor,0.17724488339557679,excellent,0.06337125489140918,fair,0.10084211978413783,fair
3,Brooklyn,11229,0.018882623716609512,good,0.04356869893922083,excellent,-0.056696758785543644,poor,0.04402754911384375,fair,0.03545083282885119,poor,0.19786607220917207,excellent,0.12197139329855151,excellent,0.08894527158674248,fair
3,Brooklyn,11217,-0.004315992797976769,fair,0.24669189306740033,excellent,0.08162384234314772,excellent,0.14878780382603543,excellent,0.05567336803912664,poor,0.17031785768271646,excellent,0.18598392212568438,excellent,0.17385047815653693,excellent
1,Manhattan,10012,0.05282795214207694,good,0.06439327167961593,excellent,0.044555449465145856,excellent,0.1530314909599403,excellent,0.09080712897278846,good,0.12269716547282031,good,0.09187814564033969,good,0.10625347932774708,fair
3,Brooklyn,11218,-0.048917003771514325,poor,0.04857457010577356,excellent,0.01692416101656432,good,0.08972680918062571,excellent,0.09819559749485886,excellent,0.17252786145267385,excellent,0.14589405651104487,excellent,0.1385271376218357,excellent
4,Queens,11361,0.033755779598881715,good,0.017918398820031507,fair,0.011126611271537815,fair,0.06510472708651109,good,0.07481232295532263,fair,0.11363973569280074,good,0.04098848737504063,poor,0.0964782705581477,fair
4,Queens,11373,0.04462821073995664,good,0.034215376519538175,good,0.01882111478707475,good,0.05268785000327686,good,0.09721725879472148,excellent,0.09612290338445188,fair,0.05717853546753283,fair,0.10711463352332992,fair
4,Queens,11413,2.7252076553010475E-4,fair,0.023664634415060462,good,7.369167426773066E-4,fair,0.03173426039707194,fair,0.07422229407124264,fair,0.07482474374257984,poor,0.0364747190159427,poor,0.09421330682619503,fair
3,Brooklyn,11222,0.046017705717209055,good,0.02511581028926934,good,0.004565958896713811,fair,0.11432178141831716,excellent,0.08526966215072662,good,0.2705518944855561,excellent,0.24339303722517683,excellent,0.24010311881356206,excellent
3,Brooklyn,11223,3.7938559990056096E-4,fair,0.05181078947857381,excellent,0.010598185714814983,fair,0.07102659718882869,excellent,0.07076854008640242,fair,0.17980252640407152,excellent,0.13464567938263955,excellent,0.09234144236792698,fair
4,Queens,11004,0.038572641513741714,good,0.0348283357679411,good,-0.007383974126996742,poor,0.044774103253878345,fair,0.06379902123620579,fair,0.0832603940908193,fair,0.01262055299521429,poor,0.10884180410494998,fair
4,Queens,11355,0.07421433012023021,excellent,0.032775936903023606,good,0.026697342802384793,good,0.047389118779940134,fair,0.07787007137010774,fair,0.08530999793911857,fair,0.06117873331966003,fair,0.1017526165296798,fair
3,Brooklyn,11242,0.021153846153846155,good,0.035781544256120526,good,-0.07818181818181819,poor,0.0,poor,0.0,poor,0.0611439842209073,poor,0.34944237918215615,excellent,0.05922865013774105,poor
1,Manhattan,10128,0.12359275826999666,excellent,-0.01997614369443682,poor,0.016062626342354974,good,0.044291933564076416,fair,0.055386082503138014,poor,0.0886600673567651,fair,0.06289307993868744,fair,0.06076397115651794,poor
4,Queens,11385,0.03991906806500638,good,0.06239666485646718,excellent,-0.005203168594783308,fair,-0.001629989385055222,poor,0.09764069075071138,excellent,0.13656117534520806,good,0.09425731212953561,good,0.11724931165324504,good
2,Bronx,10468,0.02149707464772822,good,0.039624312042868405,good,0.03181216952456924,good,0.049055804885098635,good,0.08824117933607138,good,0.10373045192353707,fair,0.07330616856556495,good,0.13741747934869028,excellent
