boro,boro_name,postcode,10_11growth,11_12growth,12_13growth,13_14growth,14_15growth,15_16growth,16_17growth,17_18growth
1,Manhattan,10025,0.091535381,0.030928572,0.07005815,0.072156237,0.062045704,0.109834914,0.104411761,0.078453025
1,Manhattan,10031,8.93E-04,0.034357408,0.047073541,0.06478535,0.140201068,0.159141359,0.122201392,0.149083002
1,Manhattan,10162,0.1,0.094359655,0.02978717,0.063282941,0.129790121,0.354467141,-0.051622125,0.041983058
4,Queens,11356,-0.005386898,0.020374853,5.18E-04,0.04605532,0.074008527,0.14691234,0.068621078,0.116883592
1,Manhattan,10034,-0.010739025,0.047233891,0.083000406,0.057899845,0.139091909,0.098414412,0.122575603,0.130969918
5,Staten Island,10308,0.015667473,0.011808114,-0.022898942,0.035048961,0.05827831,0.047394841,0.04391062,0.111240406
4,Queens,11109,0.068434084,-0.082882448,-0.126874266,0.111817351,0.047554646,0.230986024,0.05879615,0.124001116
1,Manhattan,10069,0.090524538,-0.005956336,0.07293414,0.101741422,0.042679209,0.130311297,0.102298203,0.008221193
3,Brooklyn,11204,-0.028142223,0.051680062,0.019461108,0.080446757,0.07314562,0.152655749,0.126981972,0.116246996
4,Queens,11106,0.055160494,0.011912611,-0.005524922,0.051840774,0.097840786,0.13492695,0.115705151,0.133845194
1,Manhattan,10019,0.131100279,-0.049207541,0.05770198,0.034254183,0.102962309,0.11863092,0.030512396,0.094309973
2,Bronx,10454,-0.0052476,0.047240095,0.013975983,0.031475842,0.061802446,0.091862959,0.119474406,0.245115244
4,Queens,11368,-0.065582928,0.022632211,0.012136632,0.054015042,0.096970537,0.113882261,0.082919308,0.136637445
3,Brooklyn,11251,-0.019307493,0.155583894,-0.277498494,0,-4.47E-08,0.277643265,0.350000116,0.079313281
3,Brooklyn,11201,0.058524738,-0.019079542,0.080258436,0.121595609,0.069522403,0.19668683,0.194648865,0.192575331
4,Queens,11040,0.014648795,0.046974912,0.007134541,0.017039057,0.070599215,0.104949425,0.005554405,0.13603842
2,Bronx,10459,-0.036603231,0.070543633,0.147822677,0.017519253,0.053979617,0.022889165,0.095432706,0.112642637
